year,month,temperature
1910,01,-0.6
1910,02,-0.31
1910,03,-0.9
1910,04,-0.31
1910,05,-0.37
1910,06,-0.19
1910,07,0.06
1910,08,0.0
1910,09,-0.36
1910,10,-0.37
1910,11,-0.44
1910,12,-0.4
1911,01,-0.59
1911,02,-0.9
1911,03,-0.78
1911,04,-0.86
1911,05,-0.99
1911,06,-0.84
1911,07,-0.55
1911,08,-0.56
1911,09,-0.41
1911,10,0.04
1911,11,-0.38
1911,12,0.17
1912,01,-0.3
1912,02,-0.15
1912,03,-0.19
1912,04,-0.11
1912,05,0.29
1912,06,-0.02
1912,07,-0.12
1912,08,-0.05
1912,09,-0.42
1912,10,-0.34
1912,11,-0.22
1912,12,-0.57
1913,01,0.03
1913,02,-0.28
1913,03,-1.0
1913,04,-0.29
1913,05,-0.11
1913,06,0.08
1913,07,0.42
1913,08,0.35
1913,09,0.28
1913,10,0.05
1913,11,-0.32
1913,12,-0.12
1914,01,0.75
1914,02,-0.4
1914,03,0.09
1914,04,-0.06
1914,05,0.42
1914,06,0.17
1914,07,-0.18
1914,08,-0.59
1914,09,-0.1
1914,10,0.06
1914,11,0.16
1914,12,-0.25
1915,01,0.27
1915,02,-0.01
1915,03,0.23
1915,04,0.01
1915,05,-0.07
1915,06,-0.38
1915,07,0.01
1915,08,0.03
1915,09,-0.3
1915,10,0.03
1915,11,0.3
1915,12,-0.31
1916,01,-0.62
1916,02,-0.24
1916,03,0.0
1916,04,-0.34
1916,05,-0.5
1916,06,-0.32
1916,07,-0.34
1916,08,-0.86
1916,09,-0.56
1916,10,-0.5
1916,11,-0.6
1916,12,-0.18
1917,01,0.1
1917,02,-0.17
1917,03,-0.71
1917,04,-0.61
1917,05,-0.94
1917,06,-0.64
1917,07,-0.3
1917,08,-0.21
1917,09,-0.58
1917,10,-0.59
1917,11,-0.53
1917,12,-0.6
1918,01,-1.25
1918,02,-1.06
1918,03,-0.85
1918,04,-1.26
1918,05,-0.79
1918,06,-0.73
