year,month,temperature
1910,01,-0.34
1910,02,0.27
1910,03,-1.75
1910,04,-0.62
1910,05,0.04
1910,06,-0.5
1910,07,0.21
1910,08,-0.02
1910,09,-0.52
1910,10,-0.86
1910,11,-1.29
1910,12,-1.87
1911,01,-0.91
1911,02,-0.97
1911,03,-1.95
1911,04,-0.33
1911,05,-0.57
1911,06,-0.13
1911,07,-0.24
1911,08,-0.3
1911,09,-0.5
1911,10,-0.64
1911,11,0.53
1911,12,-1.04
1912,01,0.05
1912,02,-0.13
1912,03,-1.85
1912,04,-0.35
1912,05,-0.41
1912,06,0.2
1912,07,-0.61
1912,08,-1.2
1912,09,-1.18
1912,10,-2.34
1912,11,-1.35
1912,12,-1.36
1913,01,-0.46
1913,02,-1.28
1913,03,-0.48
1913,04,-1.0
1913,05,-0.73
1913,06,-0.69
1913,07,-0.4
1913,08,-0.29
1913,09,-0.34
1913,10,-0.4
1913,11,0.03
1913,12,1.07
1914,01,1.87
1914,02,1.58
1914,03,-0.43
1914,04,-0.58
1914,05,0.1
1914,06,0.11
1914,07,-0.46
1914,08,-0.07
1914,09,-0.1
1914,10,-0.49
1914,11,-0.81
1914,12,0.04
1915,01,-1.11
1915,02,-0.52
1915,03,-0.54
1915,04,-0.65
1915,05,0.36
1915,06,0.24
1915,07,0.26
1915,08,-0.2
1915,09,-0.14
1915,10,-1.2
1915,11,0.31
1915,12,0.0
1916,01,0.6
1916,02,-0.3
1916,03,-1.21
1916,04,-0.81
1916,05,-0.59
1916,06,-0.68
1916,07,-0.28
1916,08,-0.04
1916,09,-0.47
1916,10,-0.19
1916,11,-0.76
1916,12,-1.94
1917,01,-0.26
1917,02,-0.44
1917,03,-1.16
1917,04,-0.17
1917,05,-0.25
1917,06,-0.28
1917,07,-0.26
1917,08,-0.26
1917,09,-0.16
1917,10,-0.52
1917,11,-0.02
1917,12,-0.85
1918,01,0.37
1918,02,0.04
1918,03,-0.28
1918,04,-0.9
1918,05,-0.94
1918,06,-0.38
1918,07,-0.14
1918,08,-0.22
1918,09,-0.04
1918,10,0.12
1918,11,-0.66
1918,12,-2.41
1919,01,-2.78
1919,02,-0.4
1919,03,-0.87
1919,04,-0.2
1919,05,-0.72
1919,06,-0.48
1919,07,0.09
1919,08,0.14
1919,09,-0.18
1919,10,0.46
1919,11,-0.58
1919,12,-0.42
1920,01,0.79
1920,02,-2.05
