year,month,temperature
1910,01,0.8
1910,02,2.11
1910,03,0.22
1910,04,-0.12
1910,05,-0.32
1910,06,0.18
1910,07,-0.98
1910,08,-0.85
1910,09,-0.75
1910,10,-0.51
1910,11,-0.76
1910,12,0.86
1911,01,-0.35
1911,02,-1.58
1911,03,-0.59
1911,04,-0.97
1911,05,0.23
1911,06,-0.9
1911,07,-0.13
1911,08,0.87
1911,09,0.31
1911,10,-0.48
1911,11,0.54
1911,12,0.96
1912,01,-1.48
1912,02,0.32
1912,03,1.52
1912,04,-1.23
1912,05,-0.93
1912,06,-0.05
1912,07,-0.63
1912,08,-1.39
1912,09,-2.31
1912,10,-2.05
1912,11,-1.25
1912,12,0.75
1913,01,-0.21
1913,02,-0.23
1913,03,1.0
1913,04,0.14
1913,05,-0.64
1913,06,-0.79
1913,07,-1.31
1913,08,-0.82
1913,09,-0.25
1913,10,-0.24
1913,11,1.14
1913,12,0.25
1914,01,-1.24
1914,02,1.47
1914,03,0.84
1914,04,0.57
1914,05,-0.55
1914,06,-0.53
1914,07,0.22
1914,08,-0.49
1914,09,-0.89
1914,10,-1.07
1914,11,-1.43
1914,12,0.97
1915,01,0.79
1915,02,0.25
1915,03,-1.45
1915,04,-0.55
1915,05,-0.5
1915,06,-0.11
1915,07,-0.29
1915,08,-0.97
1915,09,-1.37
1915,10,-1.38
1915,11,-1.52
1915,12,-0.12
1916,01,1.48
1916,02,0.65
1916,03,0.02
1916,04,0.01
1916,05,-0.18
1916,06,-0.66
1916,07,-0.32
1916,08,-0.89
1916,09,-1.27
1916,10,-0.58
1916,11,0.59
1916,12,0.78
1917,01,-0.84
1917,02,-2.63
1917,03,-2.27
1917,04,-1.51
1917,05,-0.5
1917,06,0.86
1917,07,-0.4
1917,08,0.28
1917,09,0.13
1917,10,-0.37
1917,11,0.3
1917,12,-1.9
1918,01,-0.22
1918,02,0.37
1918,03,-0.25
1918,04,0.45
1918,05,-0.34
1918,06,-1.34
1918,07,-0.52
1918,08,-0.59
1918,09,0.26
1918,10,0.4
1918,11,-0.15
1918,12,0.56
1919,01,0.98
1919,02,-0.43
1919,03,-0.49
1919,04,-0.72
1919,05,-1.35
1919,06,-0.31
1919,07,-1.09
1919,08,-0.83
1919,09,0.46
1919,10,-1.07
1919,11,-2.22
1919,12,-0.85
1920,01,0.65
1920,02,0.5
1920,03,1.61
1920,04,1.53
1920,05,1.17
1920,06,-0.36
1920,07,0.25
1920,08,-0.51
1920,09,-0.18
1920,10,-1.66
1920,11,-1.75
1920,12,-0.65
1921,01,1.78
1921,02,-0.47
1921,03,1.11
1921,04,0.46
1921,05,1.12
1921,06,-0.56
1921,07,-0.03
1921,08,0.01
1921,09,-0.59
1921,10,0.32
1921,11,-2.03
1921,12,-0.67
1922,01,-1.07
1922,02,-0.75
1922,03,0.21
1922,04,-0.89
1922,05,0.38
1922,06,0.06
1922,07,-0.3
1922,08,-0.55
1922,09,-1.19
1922,10,-1.4
1922,11,-1.08
1922,12,-0.33
1923,01,1.12
1923,02,-0.53
1923,03,0.52
1923,04,-1.16
1923,05,-0.04
1923,06,-2.14
1923,07,-0.03
1923,08,-0.87
1923,09,-0.19
1923,10,0.96
1923,11,0.55
1923,12,-0.38
1924,01,-1.35
1924,02,-1.7
1924,03,-1.15
1924,04,-0.99
1924,05,0.59
1924,06,0.03
1924,07,-0.4
1924,08,-0.74
1924,09,0.68
1924,10,0.37
1924,11,-0.33
1924,12,0.08
1925,01,1.66
1925,02,2.31
1925,03,-0.76
1925,04,0.07
1925,05,0.28
1925,06,-0.86
1925,07,0.03
1925,08,-0.28
1925,09,-0.97
1925,10,-0.65
1925,11,-0.81
1925,12,-1.16
1926,01,-0.09
1926,02,1.15
1926,03,-0.08
1926,04,0.48
1926,05,-0.73
1926,06,-0.69
1926,07,-0.32
1926,08,-0.87
1926,09,0.01
1926,10,-0.42
1926,11,1.94
1926,12,-0.47
1927,01,0.38
1927,02,-0.51
1927,03,1.22
1927,04,-0.25
1927,05,-0.79
1927,06,-0.05
1927,07,0.54
1927,08,0.44
1927,09,0.23
1927,10,-0.05
1927,11,-0.61
1927,12,-2.29
1928,01,0.3
1928,02,-0.1
1928,03,-1.21
1928,04,0.12
1928,05,-1.19
1928,06,-1.2
1928,07,0.31
1928,08,-0.28
1928,09,-0.03
1928,10,-0.4
1928,11,1.18
1928,12,-0.52
1929,01,-2.05
1929,02,-5.28
1929,03,-1.5
1929,04,-2.55
1929,05,0.41
1929,06,-0.75
1929,07,-0.56
1929,08,0.31
1929,09,0.2
1929,10,0.69
1929,11,1.17
1929,12,1.75
1930,01,2.04
1930,02,0.12
1930,03,0.87
1930,04,0.53
1930,05,-0.14
1930,06,0.52
1930,07,-0.17
1930,08,0.09
1930,09,-0.21
1930,10,0.32
1930,11,1.08
1930,12,0.16
1931,01,0.14
1931,02,-0.78
1931,03,-1.36
1931,04,-1.36
1931,05,0.76
1931,06,0.1
1931,07,0.27
1931,08,-0.55
1931,09,-1.85
1931,10,-0.79
1931,11,-0.09
1931,12,-0.92
1932,01,1.19
1932,02,-2.1
1932,03,-2.05
1932,04,-0.67
1932,05,-0.15
1932,06,-0.76
1932,07,0.17
1932,08,0.6
1932,09,1.01
1932,10,0.59
1932,11,0.14
1932,12,1.12
1933,01,-0.94
1933,02,-0.26
1933,03,-0.05
1933,04,-1.1
1933,05,-0.82
1933,06,-0.92
1933,07,0.07
1933,08,-0.1
1933,09,-0.33
1933,10,0.23
1933,11,-0.34
1933,12,-2.74
1934,01,0.45
1934,02,0.13
1934,03,0.84
1934,04,0.92
1934,05,1.04
1934,06,0.0
1934,07,0.55
1934,08,0.01
1934,09,1.18
1934,10,0.84
1934,11,0.74
1934,12,1.52
1935,01,-1.0
1935,02,0.54
1935,03,-0.56
1935,04,-0.19
1935,05,-1.25
1935,06,0.75
1935,07,-0.21
1935,08,-0.16
1935,09,0.23
1935,10,0.87
1935,11,0.17
1935,12,0.86
1936,01,2.54
1936,02,-0.23
1936,03,1.04
1936,04,-0.11
1936,05,0.17
1936,06,0.28
1936,07,0.8
1936,08,-0.07
1936,09,-0.45
1936,10,-1.6
1936,11,0.34
1936,12,0.77
1937,01,-0.51
1937,02,0.66
