year,month,temperature
1880,01,-0.21
1880,02,-0.84
1880,03,-0.88
1880,04,-0.41
1880,05,-0.17
1880,06,-0.16
1880,07,-0.25
1880,08,-0.3
1880,09,-0.41
1880,10,-0.7
1880,11,-1.13
1880,12,-0.79
1881,01,-0.56
1881,02,-0.54
1881,03,-0.22
1881,04,-0.07
1881,05,0.0
1881,06,-0.52
1881,07,-0.26
1881,08,-0.02
1881,09,-0.53
1881,10,-1.04
1881,11,-1.19
1881,12,-0.33
1882,01,0.12
1882,02,-0.18
1882,03,-0.18
1882,04,-0.9
1882,05,-0.63
1882,06,-0.44
1882,07,-0.46
1882,08,-0.02
1882,09,-0.32
1882,10,-1.15
1882,11,-0.69
1882,12,-0.83
1883,01,-1.59
1883,02,-1.76
1883,03,-0.79
1883,04,-0.81
1883,05,-0.56
1883,06,-0.12
1883,07,-0.4
1883,08,-0.42
1883,09,-0.52
1883,10,-0.76
1883,11,-0.97
1883,12,-0.49
1884,01,-0.59
1884,02,-1.03
1884,03,-1.28
1884,04,-0.96
1884,05,-0.52
1884,06,-0.48
1884,07,-0.72
1884,08,-0.91
1884,09,-0.93
1884,10,-0.74
1884,11,-1.09
1884,12,-0.56
1885,01,-1.8
1885,02,-0.84
1885,03,-0.39
1885,04,-0.58
1885,05,-0.68
1885,06,-0.46
1885,07,-0.41
1885,08,-0.67
1885,09,-0.6
1885,10,-0.65
1885,11,-0.31
1885,12,0.29
1886,01,-0.7
1886,02,-1.21
1886,03,-0.99
1886,04,-0.34
1886,05,-0.44
1886,06,-0.4
1886,07,-0.14
1886,08,-0.38
1886,09,-0.47
1886,10,-0.8
1886,11,-0.89
1886,12,0.24
1887,01,-1.5
1887,02,-1.01
1887,03,-0.27
1887,04,-0.39
1887,05,0.02
1887,06,-0.47
1887,07,-0.29
1887,08,-0.65
1887,09,-0.13
1887,10,-0.79
1887,11,-0.2
1887,12,-0.15
1888,01,-1.06
1888,02,-0.88
1888,03,-0.86
1888,04,-0.19
1888,05,-0.4
1888,06,-0.35
1888,07,-0.15
1888,08,-0.51
1888,09,-0.32
1888,10,-0.16
1888,11,-0.66
1888,12,-0.41
1889,01,-0.79
1889,02,-0.05
1889,03,0.15
1889,04,0.37
1889,05,-0.28
1889,06,-0.16
1889,07,-0.14
1889,08,-0.1
1889,09,-0.41
1889,10,-0.76
1889,11,-1.14
1889,12,-0.42
1890,01,-0.77
1890,02,-0.72
1890,03,-0.64
1890,04,-0.27
1890,05,-0.79
1890,06,-0.32
1890,07,-0.01
1890,08,-0.28
1890,09,-0.48
1890,10,-0.34
1890,11,-0.98
1890,12,-0.62
1891,01,-0.86
1891,02,-1.48
1891,03,-0.34
1891,04,-0.51
1891,05,-0.46
1891,06,-0.43
1891,07,-0.17
1891,08,-0.27
1891,09,-0.09
1891,10,-0.78
1891,11,-1.08
1891,12,0.27
1892,01,-0.7
1892,02,-0.39
1892,03,-0.79
1892,04,-0.73
1892,05,-0.34
1892,06,-0.14
1892,07,-0.32
1892,08,-0.39
1892,09,-0.18
1892,10,-0.23
1892,11,-1.35
1892,12,-0.88
1893,01,-2.47
1893,02,-1.95
1893,03,-0.29
1893,04,-0.51
1893,05,-0.57
1893,06,-0.11
1893,07,-0.16
1893,08,-0.35
1893,09,-0.11
1893,10,-0.31
1893,11,-0.07
1893,12,-0.43
1894,01,-0.98
1894,02,0.01
1894,03,0.0
1894,04,-0.67
1894,05,-0.18
1894,06,-0.39
1894,07,-0.29
1894,08,-0.3
1894,09,-0.36
1894,10,-0.47
1894,11,-0.78
1894,12,-0.38
1895,01,-1.32
1895,02,-1.15
1895,03,-0.49
1895,04,0.02
1895,05,-0.33
1895,06,-0.41
1895,07,-0.19
1895,08,-0.47
1895,09,-0.19
1895,10,-0.28
1895,11,-0.34
1895,12,-0.3
1896,01,-0.3
1896,02,-0.26
1896,03,-0.89
1896,04,-0.98
1896,05,-0.2
1896,06,0.04
1896,07,-0.05
1896,08,-0.16
1896,09,-0.22
1896,10,-0.15
1896,11,-1.22
1896,12,-0.41
1897,01,-0.84
1897,02,-0.74
1897,03,-1.19
1897,04,-0.12
1897,05,0.19
1897,06,-0.2
1897,07,0.15
1897,08,0.02
1897,09,0.18
1897,10,-0.28
1897,11,-0.65
1897,12,-0.71
1898,01,0.38
1898,02,-0.75
1898,03,-2.04
1898,04,-0.52
1898,05,-0.33
1898,06,-0.12
1898,07,-0.13
1898,08,-0.06
1898,09,-0.27
1898,10,-0.77
1898,11,-0.59
1898,12,0.29
1899,01,0.1
1899,02,-0.9
1899,03,-0.82
1899,04,-0.08
1899,05,-0.12
1899,06,-0.42
1899,07,-0.28
1899,08,-0.25
1899,09,0.04
1899,10,0.1
1899,11,0.91
1899,12,-0.92
1900,01,-1.39
1900,02,-0.68
1900,03,-0.01
1900,04,-0.32
1900,05,0.11
1900,06,-0.07
1900,07,-0.22
1900,08,-0.02
1900,09,-0.1
1900,10,0.31
1900,11,-0.59
1900,12,0.2
1901,01,-0.5
1901,02,-0.24
1901,03,0.4
1901,04,0.24
1901,05,-0.1
1901,06,0.09
1901,07,0.25
1901,08,0.06
1901,09,-0.3
1901,10,-0.54
1901,11,-0.19
1901,12,-0.61
1902,01,0.34
1902,02,0.54
1902,03,-0.33
1902,04,-0.76
1902,05,-0.48
1902,06,-0.4
1902,07,-0.3
1902,08,-0.22
1902,09,-0.29
1902,10,-0.59
1902,11,-0.95
1902,12,-1.08
1903,01,-0.19
1903,02,0.42
1903,03,-0.4
1903,04,-0.55
1903,05,-0.61
1903,06,-0.53
1903,07,-0.41
1903,08,-0.42
1903,09,-0.46
1903,10,-0.67
1903,11,-0.56
1903,12,-0.63
1904,01,-0.94
1904,02,-0.56
1904,03,-0.76
1904,04,-0.69
1904,05,-0.3
1904,06,-0.37
1904,07,-0.66
1904,08,-0.35
1904,09,-0.54
1904,10,-0.53
1904,11,0.56
1904,12,0.04
1905,01,-0.3
1905,02,-1.58
1905,03,-0.88
1905,04,-0.99
1905,05,-0.31
1905,06,-0.24
1905,07,-0.19
1905,08,-0.05
1905,09,-0.01
1905,10,-0.26
1905,11,0.41
1905,12,0.05
1906,01,-0.47
1906,02,-0.91
1906,03,-0.24
1906,04,0.26
1906,05,-0.02
1906,06,0.07
1906,07,-0.2
1906,08,-0.14
1906,09,-0.2
1906,10,-0.26
1906,11,-0.54
1906,12,0.39
1907,01,-0.73
1907,02,-1.08
1907,03,-0.6
1907,04,-0.88
1907,05,-0.98
1907,06,-0.77
1907,07,-0.52
1907,08,-0.44
1907,09,-0.41
1907,10,-0.26
1907,11,-0.97
1907,12,-0.71
1908,01,-0.35
1908,02,-0.4
1908,03,-1.26
1908,04,-0.62
1908,05,-0.16
1908,06,-0.19
1908,07,-0.19
1908,08,-0.39
1908,09,-0.06
1908,10,-0.56
1908,11,-0.8
1908,12,-0.46
1909,01,-1.13
1909,02,-0.5
1909,03,-0.71
1909,04,-1.08
1909,05,-0.62
1909,06,-0.46
1909,07,-0.34
1909,08,-0.14
1909,09,-0.16
1909,10,-0.17
1909,11,0.47
1909,12,-0.12
1910,01,-0.07
1910,02,-0.36
1910,03,-0.45
1910,04,-0.2
1910,05,-0.23
1910,06,-0.27
1910,07,0.04
1910,08,-0.25
1910,09,-0.39
1910,10,-0.4
1910,11,-0.62
1910,12,-0.92
1911,01,-0.91
1911,02,-0.82
1911,03,-0.92
1911,04,-0.55
1911,05,-0.43
1911,06,-0.2
1911,07,-0.37
1911,08,-0.35
1911,09,-0.3
1911,10,-0.3
1911,11,-0.27
1911,12,-0.39
1912,01,-0.64
1912,02,-0.1
1912,03,-1.12
1912,04,-0.32
1912,05,-0.16
1912,06,-0.06
1912,07,-0.57
1912,08,-0.83
1912,09,-0.9
1912,10,-1.27
1912,11,-0.68
1912,12,-0.72
1913,01,-0.61
1913,02,-1.03
1913,03,-0.84
1913,04,-0.49
1913,05,-0.52
1913,06,-0.4
1913,07,-0.34
1913,08,-0.17
1913,09,-0.24
1913,10,-0.44
1913,11,0.19
1913,12,0.6
1914,01,1.12
1914,02,0.08
1914,03,-0.22
1914,04,-0.39
1914,05,0.12
1914,06,0.0
1914,07,-0.29
1914,08,-0.32
1914,09,-0.23
1914,10,-0.15
1914,11,-0.29
1914,12,-0.29
1915,01,-0.31
1915,02,0.03
1915,03,-0.25
1915,04,0.25
1915,05,0.1
1915,06,-0.17
1915,07,-0.03
1915,08,-0.18
1915,09,-0.32
1915,10,-0.59
1915,11,0.27
1915,12,0.13
1916,01,-0.15
1916,02,-0.31
1916,03,-0.69
1916,04,-0.34
1916,05,-0.4
1916,06,-0.53
1916,07,-0.23
1916,08,-0.39
1916,09,-0.52
1916,10,-0.42
1916,11,-0.51
1916,12,-1.36
1917,01,-0.48
1917,02,-0.82
1917,03,-1.04
1917,04,-0.56
1917,05,-0.81
1917,06,-0.49
1917,07,-0.19
1917,08,-0.21
1917,09,-0.21
1917,10,-0.75
1917,11,0.1
1917,12,-1.58
1918,01,-0.53
1918,02,-0.55
1918,03,-0.33
1918,04,-0.83
1918,05,-0.83
1918,06,-0.55
1918,07,-0.38
1918,08,-0.43
1918,09,-0.22
1918,10,0.05
1918,11,-0.45
1918,12,-1.15
1919,01,-0.85
1919,02,-0.22
1919,03,-0.67
1919,04,0.0
1919,05,-0.61
1919,06,-0.37
1919,07,-0.08
1919,08,-0.07
1919,09,-0.06
1919,10,-0.26
1919,11,-0.85
1919,12,-0.77
1920,01,0.01
1920,02,-0.76
1920,03,0.1
1920,04,-0.2
1920,05,-0.09
1920,06,-0.34
1920,07,-0.1
1920,08,-0.27
1920,09,-0.36
1920,10,-0.47
1920,11,-0.66
1920,12,-1.3
1921,01,0.45
1921,02,-0.1
1921,03,-0.13
1921,04,-0.07
1921,05,-0.26
1921,06,0.06
1921,07,0.1
1921,08,-0.38
1921,09,-0.19
1921,10,-0.1
1921,11,-0.39
1921,12,0.04
1922,01,-0.8
1922,02,-0.88
1922,03,-0.07
1922,04,-0.04
1922,05,-0.2
1922,06,0.03
1922,07,-0.1
1922,08,-0.26
1922,09,-0.42
1922,10,-0.3
1922,11,-0.01
1922,12,-0.1
1923,01,-0.04
1923,02,-1.01
1923,03,-0.58
1923,04,-1.01
1923,05,-0.45
1923,06,-0.19
1923,07,-0.3
1923,08,-0.31
1923,09,-0.19
1923,10,0.1
1923,11,0.35
1923,12,0.22
1924,01,-0.58
1924,02,-0.26
1924,03,0.0
1924,04,-0.39
1924,05,-0.19
1924,06,-0.14
1924,07,-0.1
1924,08,-0.13
1924,09,-0.07
1924,10,-0.14
1924,11,0.32
1924,12,-0.37
1925,01,-0.39
1925,02,-0.56
1925,03,-0.04
1925,04,0.13
1925,05,-0.14
1925,06,-0.28
1925,07,-0.17
1925,08,-0.12
1925,09,0.12
1925,10,-0.24
1925,11,0.35
1925,12,0.67
1926,01,0.75
1926,02,0.38
1926,03,0.48
1926,04,-0.48
1926,05,-0.21
1926,06,-0.16
1926,07,-0.27
1926,08,-0.04
1926,09,-0.07
1926,10,0.09
1926,11,0.11
1926,12,-0.49
1927,01,-0.65
1927,02,-0.35
1927,03,-0.73
1927,04,-0.43
1927,05,-0.16
1927,06,-0.08
1927,07,0.08
1927,08,-0.21
1927,09,0.25
1927,10,0.49
1927,11,0.04
1927,12,-0.79
1928,01,0.2
1928,02,-0.14
1928,03,-0.62
1928,04,-0.54
1928,05,-0.07
1928,06,-0.35
1928,07,-0.09
1928,08,-0.18
1928,09,-0.11
1928,10,-0.02
1928,11,0.2
1928,12,0.04
1929,01,-1.29
1929,02,-1.69
1929,03,-0.12
1929,04,-0.32
1929,05,-0.26
1929,06,-0.51
1929,07,-0.42
1929,08,-0.2
1929,09,-0.27
1929,10,0.09
1929,11,0.08
1929,12,-1.61
1930,01,-0.71
1930,02,-0.26
1930,03,0.37
1930,04,-0.33
1930,05,-0.26
1930,06,-0.19
1930,07,0.07
1930,08,0.14
1930,09,-0.25
1930,10,-0.09
1930,11,0.51
1930,12,0.07
1931,01,-0.03
1931,02,-0.93
1931,03,0.0
1931,04,-0.25
1931,05,-0.34
1931,06,0.22
1931,07,0.33
1931,08,0.33
1931,09,0.42
1931,10,0.66
1931,11,0.23
1931,12,0.2
1932,01,1.06
1932,02,-0.45
1932,03,-0.57
1932,04,0.4
1932,05,-0.15
1932,06,-0.08
1932,07,0.03
1932,08,-0.05
1932,09,0.29
1932,10,0.34
1932,11,-0.38
1932,12,-0.34
1933,01,-0.74
1933,02,-0.97
1933,03,-0.63
1933,04,-0.42
1933,05,-0.34
1933,06,-0.31
1933,07,-0.01
1933,08,-0.09
1933,09,-0.27
1933,10,-0.16
1933,11,0.0
1933,12,-0.76
1934,01,-0.42
1934,02,0.76
1934,03,-0.58
1934,04,-0.45
1934,05,0.27
1934,06,-0.08
1934,07,-0.05
1934,08,-0.05
1934,09,-0.42
1934,10,0.22
1934,11,0.54
1934,12,0.29
1935,01,-0.71
1935,02,1.37
1935,03,0.08
1935,04,-0.67
1935,05,-0.4
1935,06,-0.14
1935,07,0.01
1935,08,0.04
1935,09,0.03
1935,10,0.17
1935,11,-1.03
1935,12,-0.46
1936,01,-0.74
1936,02,-1.04
1936,03,-0.3
1936,04,-0.37
1936,05,-0.01
1936,06,-0.02
1936,07,0.29
1936,08,-0.02
1936,09,0.0
1936,10,0.13
1936,11,0.26
1936,12,0.37
1937,01,-0.55
1937,02,0.26
1937,03,-0.67
1937,04,-0.32
1937,05,0.17
1937,06,0.28
1937,07,0.1
1937,08,0.14
1937,09,0.48
1937,10,0.44
1937,11,0.13
1937,12,-0.35
