year,month,temperature
1910,01,0.61
1910,02,-2.88
1910,03,2.67
1910,04,0.53
1910,05,-0.82
1910,06,-0.23
1910,07,-0.18
1910,08,-0.8
1910,09,-0.22
1910,10,0.18
1910,11,0.02
1910,12,-0.36
1911,01,-1.63
1911,02,-0.01
1911,03,0.53
1911,04,-0.87
1911,05,0.1
1911,06,0.35
1911,07,-0.67
1911,08,-0.73
1911,09,-0.1
1911,10,0.0
1911,11,-2.12
1911,12,0.25
1912,01,-2.3
1912,02,-0.44
1912,03,-2.12
1912,04,-0.46
1912,05,0.0
1912,06,-0.83
1912,07,-1.19
1912,08,-1.11
1912,09,-0.88
1912,10,-0.25
1912,11,0.6
1912,12,-0.01
1913,01,-1.91
1913,02,-1.79
1913,03,-2.1
1913,04,-0.02
1913,05,-0.63
1913,06,-0.29
1913,07,-0.84
1913,08,-0.29
1913,09,-0.95
1913,10,-1.5
1913,11,1.0
1913,12,1.05
1914,01,0.95
1914,02,-2.96
1914,03,-0.79
1914,04,-0.85
1914,05,-0.04
1914,06,-0.25
1914,07,-0.37
1914,08,-0.58
1914,09,-0.22
1914,10,0.82
1914,11,0.31
1914,12,-1.49
1915,01,0.11
1915,02,1.06
1915,03,-0.26
1915,04,2.43
1915,05,-0.3
1915,06,-0.94
1915,07,-0.9
1915,08,-0.26
1915,09,-0.54
1915,10,-0.15
1915,11,0.51
1915,12,0.74
1916,01,-1.68
1916,02,-0.83
1916,03,-1.2
1916,04,0.21
1916,05,-0.39
1916,06,-0.63
1916,07,0.08
1916,08,-0.46
1916,09,-0.4
1916,10,-0.56
1916,11,-0.31
1916,12,-2.39
1917,01,-1.99
1917,02,-2.2
1917,03,-1.12
1917,04,-1.33
1917,05,-1.96
1917,06,-1.14
1917,07,-0.01
1917,08,-0.61
1917,09,-0.09
1917,10,-1.79
1917,11,0.92
1917,12,-4.4
1918,01,-2.08
1918,02,-1.47
1918,03,0.08
1918,04,-0.82
1918,05,-1.07
1918,06,-0.46
1918,07,-0.89
1918,08,-0.39
1918,09,-0.93
1918,10,-0.23
1918,11,-0.39
1918,12,0.43
1919,01,0.96
1919,02,-1.0
1919,03,-1.72
1919,04,0.14
1919,05,-0.16
1919,06,-0.17
1919,07,-0.1
1919,08,0.18
1919,09,0.19
1919,10,-1.88
1919,11,-1.95
1919,12,-1.59
1920,01,-1.17
1920,02,1.63
1920,03,-0.95
1920,04,-2.33
1920,05,-0.71
1920,06,-0.8
1920,07,-0.33
1920,08,-0.56
1920,09,-0.01
