year,month,temperature
1910,01,-0.07
1910,02,0.01
1910,03,-1.19
1910,04,-0.09
1910,05,0.29
1910,06,-0.1
1910,07,0.03
1910,08,0.31
1910,09,0.56
1910,10,-1.17
1910,11,-0.76
1910,12,-1.01
1911,01,-0.48
1911,02,-0.92
1911,03,-0.51
1911,04,-0.67
1911,05,-0.57
1911,06,-1.32
1911,07,-0.25
1911,08,-0.2
1911,09,-0.41
1911,10,-0.22
1911,11,0.47
1911,12,-0.22
1912,01,0.52
1912,02,0.78
1912,03,0.3
1912,04,-0.52
1912,05,-0.15
1912,06,-0.61
1912,07,-0.28
1912,08,0.08
1912,09,-0.02
1912,10,0.05
1912,11,-0.51
1912,12,0.21
1913,01,-0.44
1913,02,-0.42
1913,03,-1.14
1913,04,-0.07
1913,05,-2.03
1913,06,-1.56
1913,07,-0.22
1913,08,-0.41
1913,09,-0.94
1913,10,0.0
1913,11,0.0
1913,12,0.38
1914,01,-0.17
1914,02,0.72
1914,03,0.65
1914,04,0.63
1914,05,0.11
1914,06,-0.17
1914,07,-0.68
1914,08,0.66
1914,09,0.03
1914,10,0.59
1914,11,0.94
1914,12,0.58
1915,01,-0.53
1915,02,0.98
1915,03,0.41
1915,04,0.34
1915,05,-0.67
1915,06,0.82
1915,07,0.95
1915,08,-0.23
1915,09,0.55
1915,10,-0.17
1915,11,0.48
1915,12,0.01
1916,01,0.14
1916,02,0.23
1916,03,0.12
1916,04,-1.01
1916,05,0.47
1916,06,0.48
1916,07,-0.46
1916,08,0.18
1916,09,0.33
1916,10,-0.76
1916,11,-1.72
1916,12,-1.03
1917,01,-0.98
1917,02,-2.21
1917,03,-1.06
1917,04,-1.09
1917,05,-1.78
1917,06,-1.11
1917,07,0.6
1917,08,-0.59
1917,09,-0.2
1917,10,-0.5
1917,11,-1.04
1917,12,-0.37
1918,01,-0.78
1918,02,-1.2
1918,03,-1.38
1918,04,-0.55
1918,05,-0.24
1918,06,0.16
1918,07,-1.06
1918,08,-0.2
1918,09,-0.2
1918,10,-0.09
1918,11,0.3
1918,12,0.28
1919,01,0.14
1919,02,-0.16
1919,03,-0.19
1919,04,0.63
1919,05,-0.07
1919,06,0.42
1919,07,-0.32
1919,08,-0.27
1919,09,-0.43
1919,10,-0.28
1919,11,0.37
1919,12,0.68
1920,01,-0.65
1920,02,-0.15
1920,03,-0.85
1920,04,-0.91
1920,05,-0.69
1920,06,0.08
1920,07,-0.13
1920,08,-0.26
1920,09,-0.2
1920,10,-0.06
1920,11,-0.11
1920,12,-0.75
1921,01,-0.3
1921,02,-0.1
1921,03,-0.86
1921,04,-0.45
1921,05,1.16
1921,06,0.86
1921,07,0.52
1921,08,-0.81
1921,09,-0.1
1921,10,-0.76
1921,11,0.38
1921,12,-0.11
1922,01,-0.27
1922,02,0.2
1922,03,-0.22
1922,04,0.86
1922,05,-0.42
1922,06,-0.38
1922,07,-1.43
1922,08,-0.93
1922,09,-0.27
1922,10,0.08
1922,11,0.43
1922,12,-0.55
1923,01,-0.18
1923,02,1.05
1923,03,0.57
1923,04,0.54
1923,05,0.55
1923,06,-0.5
1923,07,-0.78
1923,08,-1.21
1923,09,-1.07
1923,10,-0.73
1923,11,-0.53
1923,12,-0.04
1924,01,-0.72
1924,02,-0.69
1924,03,-0.62
1924,04,-1.52
1924,05,0.06
1924,06,-0.46
1924,07,0.44
1924,08,-0.16
1924,09,0.23
1924,10,-0.48
1924,11,-0.53
1924,12,-0.88
1925,01,-1.32
1925,02,-0.55
1925,03,-0.47
1925,04,-0.34
1925,05,-0.4
1925,06,-0.41
1925,07,-1.18
1925,08,-1.13
1925,09,-1.69
1925,10,-0.6
1925,11,0.22
1925,12,0.61
1926,01,-0.37
1926,02,1.12
1926,03,-0.06
1926,04,0.29
1926,05,-1.28
1926,06,-0.66
1926,07,0.32
1926,08,-0.08
1926,09,0.01
1926,10,0.27
1926,11,0.29
1926,12,-0.67
1927,01,-0.11
1927,02,-0.69
1927,03,-0.06
1927,04,-0.93
1927,05,-0.97
1927,06,0.1
1927,07,-0.57
1927,08,-0.3
1927,09,-0.04
1927,10,0.16
1927,11,0.39
1927,12,-0.37
1928,01,-0.34
1928,02,-0.13
1928,03,0.26
1928,04,0.97
1928,05,-0.67
1928,06,-0.81
1928,07,-0.15
1928,08,0.97
1928,09,1.0
1928,10,0.27
1928,11,0.56
1928,12,0.43
1929,01,-0.02
1929,02,0.65
1929,03,-0.75
1929,04,-1.14
1929,05,-0.83
1929,06,-0.85
1929,07,-1.51
1929,08,-0.2
1929,09,-1.02
1929,10,-0.37
1929,11,0.13
1929,12,-0.83
1930,01,-0.32
1930,02,0.25
1930,03,-0.1
1930,04,-0.27
1930,05,-0.23
1930,06,-0.15
1930,07,0.5
1930,08,-0.2
1930,09,-0.23
1930,10,-0.14
1930,11,0.04
1930,12,-0.56
1931,01,-0.54
1931,02,0.11
1931,03,-0.23
1931,04,-0.6
1931,05,-0.22
1931,06,0.04
1931,07,-0.18
1931,08,-0.25
1931,09,-0.13
1931,10,-1.13
