year,month,temperature
1910,01,-0.44
1910,02,-0.52
1910,03,-0.87
1910,04,-0.42
1910,05,-0.47
1910,06,0.08
1910,07,-0.26
1910,08,-0.1
1910,09,-0.28
1910,10,-0.33
1910,11,-0.23
1910,12,-0.31
1911,01,-0.47
1911,02,-0.51
1911,03,-0.67
1911,04,-0.43
1911,05,-0.29
1911,06,-0.74
1911,07,-0.37
1911,08,-0.52
1911,09,-0.71
1911,10,-0.51
1911,11,-0.12
1911,12,-0.17
1912,01,-0.16
1912,02,-0.07
1912,03,-0.03
1912,04,-0.23
1912,05,-0.17
1912,06,-0.1
1912,07,-0.56
1912,08,-0.28
1912,09,-0.3
1912,10,-0.02
1912,11,-0.32
1912,12,-0.13
1913,01,-0.34
1913,02,-0.19
1913,03,-0.4
1913,04,-0.09
1913,05,-0.24
1913,06,-0.14
1913,07,0.53
1913,08,0.02
1913,09,-0.13
1913,10,-0.01
1913,11,-0.08
1913,12,-0.34
1914,01,-0.13
1914,02,-0.36
1914,03,-0.53
1914,04,-0.52
1914,05,-0.19
1914,06,0.16
1914,07,0.49
1914,08,-0.21
1914,09,-0.33
1914,10,-0.3
1914,11,-0.46
1914,12,-0.36
1915,01,-0.33
1915,02,-0.05
1915,03,-0.31
1915,04,0.23
1915,05,0.33
1915,06,-0.67
1915,07,0.03
1915,08,0.22
1915,09,-0.36
1915,10,-0.19
1915,11,-0.41
1915,12,-0.25
1916,01,-0.39
1916,02,-0.63
1916,03,-0.77
1916,04,-0.15
1916,05,-0.47
1916,06,-1.39
1916,07,-1.12
1916,08,-0.75
1916,09,-0.22
1916,10,-0.41
1916,11,-0.35
1916,12,-0.74
1917,01,-0.62
1917,02,-0.97
1917,03,-1.02
1917,04,-0.88
1917,05,-1.52
1917,06,-0.85
1917,07,-0.9
1917,08,-0.88
1917,09,-0.61
1917,10,-0.75
1917,11,-0.85
1917,12,-0.59
1918,01,-0.85
1918,02,-1.01
1918,03,-0.73
1918,04,-0.53
1918,05,-0.85
1918,06,-0.68
1918,07,-0.46
1918,08,-0.4
1918,09,-0.48
1918,10,-0.6
1918,11,-0.25
1918,12,-0.32
1919,01,0.02
1919,02,-0.06
1919,03,-0.11
1919,04,0.13
1919,05,0.45
1919,06,-0.24
1919,07,-0.32
1919,08,-0.81
1919,09,-0.65
1919,10,-0.49
1919,11,-0.46
1919,12,-0.28
1920,01,-0.33
1920,02,-0.34
1920,03,-0.22
1920,04,-0.14
1920,05,-0.31
1920,06,-0.8
1920,07,-0.73
1920,08,-0.69
1920,09,-0.36
1920,10,-0.48
1920,11,-0.25
1920,12,-0.45
1921,01,-0.63
1921,02,-0.57
1921,03,-0.77
1921,04,-0.46
1921,05,-0.1
1921,06,-1.15
1921,07,-0.99
1921,08,-0.43
1921,09,-0.5
1921,10,-0.6
1921,11,-0.48
1921,12,-0.35
1922,01,-0.5
1922,02,-0.51
1922,03,-0.49
1922,04,-0.56
1922,05,-0.61
1922,06,-0.87
1922,07,-0.14
1922,08,-0.64
1922,09,-0.29
1922,10,-0.78
1922,11,-0.5
1922,12,-0.7
1923,01,-0.69
1923,02,-0.53
1923,03,-0.28
1923,04,-0.42
1923,05,-1.05
1923,06,-0.31
1923,07,-0.92
1923,08,-0.57
1923,09,-0.32
1923,10,-0.74
1923,11,-0.34
1923,12,-0.57
1924,01,-0.6
1924,02,-0.38
1924,03,-0.26
1924,04,-0.5
1924,05,-0.84
1924,06,-0.67
1924,07,-0.65
1924,08,-1.05
1924,09,-0.87
1924,10,-0.78
1924,11,-0.82
1924,12,-0.46
1925,01,-0.49
1925,02,-0.44
1925,03,-0.38
1925,04,-0.31
1925,05,-0.62
1925,06,-0.83
1925,07,-0.77
1925,08,0.05
1925,09,-0.22
1925,10,-0.41
1925,11,-0.13
1925,12,-0.1
1926,01,-0.01
1926,02,-0.07
1926,03,0.29
1926,04,-0.05
1926,05,-0.59
1926,06,0.07
1926,07,-0.42
1926,08,-0.2
