North America Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
191001,0.61
191002,-2.88
191003,2.67
191004,0.53
191005,-0.82
191006,-0.23
191007,-0.18
191008,-0.80
191009,-0.22
191010,0.18
191011,0.02
191012,-0.36
191101,-1.63
191102,-0.01
191103,0.53
191104,-0.87
191105,0.10
191106,0.35
191107,-0.67
191108,-0.73
191109,-0.10
191110,0.00
191111,-2.12
191112,0.25
191201,-2.30
191202,-0.44
191203,-2.12
191204,-0.46
191205,0.00
191206,-0.83
191207,-1.19
191208,-1.11
191209,-0.88
191210,-0.25
191211,0.60
191212,-0.01
191301,-1.91
191302,-1.79
191303,-2.10
191304,-0.02
191305,-0.63
191306,-0.29
191307,-0.84
191308,-0.29
191309,-0.95
191310,-1.50
191311,1.00
191312,1.05
191401,0.95
191402,-2.96
191403,-0.79
191404,-0.85
191405,-0.04
191406,-0.25
191407,-0.37
191408,-0.58
191409,-0.22
191410,0.82
191411,0.31
191412,-1.49
191501,0.11
191502,1.06
191503,-0.26
191504,2.43
191505,-0.30
191506,-0.94
191507,-0.90
191508,-0.26
191509,-0.54
191510,-0.15
191511,0.51
191512,0.74
191601,-1.68
191602,-0.83
191603,-1.20
191604,0.21
191605,-0.39
191606,-0.63
191607,0.08
191608,-0.46
191609,-0.40
191610,-0.56
191611,-0.31
191612,-2.39
191701,-1.99
191702,-2.20
191703,-1.12
191704,-1.33
191705,-1.96
191706,-1.14
191707,-0.01
191708,-0.61
191709,-0.09
191710,-1.79
191711,0.92
191712,-4.40
191801,-2.08
191802,-1.47
191803,0.08
191804,-0.82
191805,-1.07
191806,-0.46
191807,-0.89
191808,-0.39
191809,-0.93
191810,-0.23
191811,-0.39
191812,0.43
191901,0.96
191902,-1.00
191903,-1.72
191904,0.14
191905,-0.16
191906,-0.17
191907,-0.10
191908,0.18
191909,0.19
191910,-1.88
191911,-1.95
191912,-1.59
192001,-1.17
192002,1.63
192003,-0.95
192004,-2.33
192005,-0.71
192006,-0.80
192007,-0.33
192008,-0.56
192009,-0.01
192010,0.14
192011,-0.28
192012,0.06
192101,1.07
192102,0.65
192103,0.40
192104,-0.11
192105,-0.06
192106,0.70
192107,0.26
192108,-0.55
192109,0.11
192110,0.45
192111,-0.50
192112,1.20
192201,-0.06
192202,-1.94
192203,-1.00
192204,-0.36
192205,0.07
192206,-0.15
192207,-0.71
192208,-0.02
192209,0.31
192210,-0.03
192211,0.42
192212,-0.92
192301,0.34
192302,-1.56
