Northern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.21
188002,-0.84
188003,-0.88
188004,-0.41
188005,-0.17
188006,-0.16
188007,-0.25
188008,-0.30
188009,-0.41
188010,-0.70
188011,-1.13
188012,-0.79
188101,-0.56
188102,-0.54
188103,-0.22
188104,-0.07
188105,0.00
188106,-0.52
188107,-0.26
188108,-0.02
188109,-0.53
188110,-1.04
188111,-1.19
188112,-0.33
188201,0.12
188202,-0.18
188203,-0.18
188204,-0.90
188205,-0.63
188206,-0.44
188207,-0.46
188208,-0.02
188209,-0.32
188210,-1.15
188211,-0.69
188212,-0.83
188301,-1.59
188302,-1.76
188303,-0.79
188304,-0.81
188305,-0.56
188306,-0.12
188307,-0.40
188308,-0.42
188309,-0.52
188310,-0.76
188311,-0.97
188312,-0.49
188401,-0.59
188402,-1.03
188403,-1.28
188404,-0.96
188405,-0.52
188406,-0.48
188407,-0.72
188408,-0.91
188409,-0.93
188410,-0.74
188411,-1.09
188412,-0.56
188501,-1.80
188502,-0.84
188503,-0.39
188504,-0.58
188505,-0.68
188506,-0.46
188507,-0.41
188508,-0.67
188509,-0.60
188510,-0.65
188511,-0.31
188512,0.29
188601,-0.70
188602,-1.21
188603,-0.99
188604,-0.34
188605,-0.44
188606,-0.40
188607,-0.14
188608,-0.38
188609,-0.47
188610,-0.80
188611,-0.89
188612,0.24
188701,-1.50
188702,-1.01
188703,-0.27
188704,-0.39
188705,0.02
188706,-0.47
188707,-0.29
188708,-0.65
188709,-0.13
188710,-0.79
188711,-0.20
188712,-0.15
188801,-1.06
188802,-0.88
188803,-0.86
188804,-0.19
188805,-0.40
188806,-0.35
188807,-0.15
188808,-0.51
188809,-0.32
188810,-0.16
188811,-0.66
188812,-0.41
188901,-0.79
188902,-0.05
188903,0.15
188904,0.37
188905,-0.28
188906,-0.16
188907,-0.14
188908,-0.10
188909,-0.41
188910,-0.76
188911,-1.14
188912,-0.42
189001,-0.77
189002,-0.72
189003,-0.64
189004,-0.27
189005,-0.79
189006,-0.32
189007,-0.01
189008,-0.28
189009,-0.48
189010,-0.34
189011,-0.98
189012,-0.62
189101,-0.86
189102,-1.48
189103,-0.34
189104,-0.51
189105,-0.46
189106,-0.43
189107,-0.17
189108,-0.27
189109,-0.09
189110,-0.78
189111,-1.08
189112,0.27
189201,-0.70
189202,-0.39
189203,-0.79
189204,-0.73
189205,-0.34
189206,-0.14
189207,-0.32
189208,-0.39
189209,-0.18
189210,-0.23
189211,-1.35
189212,-0.88
189301,-2.47
189302,-1.95
189303,-0.29
189304,-0.51
189305,-0.57
189306,-0.11
189307,-0.16
189308,-0.35
189309,-0.11
189310,-0.31
189311,-0.07
189312,-0.43
189401,-0.98
189402,0.01
189403,0.00
189404,-0.67
189405,-0.18
189406,-0.39
189407,-0.29
189408,-0.30
189409,-0.36
189410,-0.47
189411,-0.78
189412,-0.38
189501,-1.32
189502,-1.15
189503,-0.49
189504,0.02
189505,-0.33
189506,-0.41
189507,-0.19
189508,-0.47
189509,-0.19
189510,-0.28
189511,-0.34
189512,-0.30
189601,-0.30
189602,-0.26
189603,-0.89
189604,-0.98
189605,-0.20
189606,0.04
189607,-0.05
189608,-0.16
189609,-0.22
189610,-0.15
189611,-1.22
189612,-0.41
189701,-0.84
189702,-0.74
189703,-1.19
189704,-0.12
189705,0.19
189706,-0.20
189707,0.15
189708,0.02
189709,0.18
189710,-0.28
189711,-0.65
189712,-0.71
189801,0.38
189802,-0.75
189803,-2.04
189804,-0.52
189805,-0.33
189806,-0.12
189807,-0.13
189808,-0.06
189809,-0.27
189810,-0.77
189811,-0.59
189812,0.29
189901,0.10
189902,-0.90
189903,-0.82
189904,-0.08
189905,-0.12
189906,-0.42
189907,-0.28
189908,-0.25
189909,0.04
189910,0.10
189911,0.91
189912,-0.92
190001,-1.39
190002,-0.68
190003,-0.01
190004,-0.32
190005,0.11
190006,-0.07
190007,-0.22
190008,-0.02
190009,-0.10
190010,0.31
190011,-0.59
190012,0.20
190101,-0.50
190102,-0.24
190103,0.40
190104,0.24
190105,-0.10
190106,0.09
190107,0.25
190108,0.06
190109,-0.30
190110,-0.54
190111,-0.19
190112,-0.61
190201,0.34
190202,0.54
190203,-0.33
190204,-0.76
190205,-0.48
190206,-0.40
190207,-0.30
190208,-0.22
190209,-0.29
190210,-0.59
190211,-0.95
190212,-1.08
190301,-0.19
190302,0.42
190303,-0.40
190304,-0.55
190305,-0.61
190306,-0.53
190307,-0.41
190308,-0.42
190309,-0.46
190310,-0.67
190311,-0.56
190312,-0.63
190401,-0.94
190402,-0.56
190403,-0.76
190404,-0.69
190405,-0.30
190406,-0.37
190407,-0.66
190408,-0.35
190409,-0.54
190410,-0.53
190411,0.56
190412,0.04
190501,-0.30
190502,-1.58
190503,-0.88
190504,-0.99
190505,-0.31
190506,-0.24
190507,-0.19
190508,-0.05
190509,-0.01
190510,-0.26
190511,0.41
190512,0.05
190601,-0.47
190602,-0.91
190603,-0.24
190604,0.26
190605,-0.02
190606,0.07
190607,-0.20
190608,-0.14
190609,-0.20
190610,-0.26
190611,-0.54
190612,0.39
190701,-0.73
190702,-1.08
190703,-0.60
190704,-0.88
190705,-0.98
190706,-0.77
190707,-0.52
190708,-0.44
190709,-0.41
190710,-0.26
190711,-0.97
190712,-0.71
190801,-0.35
190802,-0.40
190803,-1.26
190804,-0.62
190805,-0.16
190806,-0.19
190807,-0.19
190808,-0.39
190809,-0.06
190810,-0.56
190811,-0.80
190812,-0.46
190901,-1.13
190902,-0.50
190903,-0.71
190904,-1.08
190905,-0.62
190906,-0.46
190907,-0.34
190908,-0.14
190909,-0.16
190910,-0.17
190911,0.47
190912,-0.12
191001,-0.07
191002,-0.36
191003,-0.45
191004,-0.20
191005,-0.23
191006,-0.27
191007,0.04
191008,-0.25
191009,-0.39
191010,-0.40
191011,-0.62
191012,-0.92
191101,-0.91
191102,-0.82
191103,-0.92
191104,-0.55
191105,-0.43
191106,-0.20
191107,-0.37
191108,-0.35
191109,-0.30
191110,-0.30
191111,-0.27
191112,-0.39
191201,-0.64
191202,-0.10
191203,-1.12
191204,-0.32
191205,-0.16
191206,-0.06
191207,-0.57
191208,-0.83
191209,-0.90
191210,-1.27
191211,-0.68
191212,-0.72
191301,-0.61
191302,-1.03
191303,-0.84
191304,-0.49
191305,-0.52
191306,-0.40
191307,-0.34
191308,-0.17
191309,-0.24
191310,-0.44
191311,0.19
191312,0.60
191401,1.12
191402,0.08
191403,-0.22
191404,-0.39
191405,0.12
191406,0.00
191407,-0.29
191408,-0.32
191409,-0.23
191410,-0.15
191411,-0.29
191412,-0.29
191501,-0.31
191502,0.03
191503,-0.25
191504,0.25
191505,0.10
191506,-0.17
191507,-0.03
191508,-0.18
191509,-0.32
191510,-0.59
191511,0.27
191512,0.13
191601,-0.15
191602,-0.31
191603,-0.69
191604,-0.34
191605,-0.40
191606,-0.53
191607,-0.23
191608,-0.39
191609,-0.52
191610,-0.42
191611,-0.51
191612,-1.36
191701,-0.48
191702,-0.82
191703,-1.04
191704,-0.56
191705,-0.81
191706,-0.49
191707,-0.19
191708,-0.21
191709,-0.21
191710,-0.75
191711,0.10
191712,-1.58
191801,-0.53
191802,-0.55
191803,-0.33
191804,-0.83
191805,-0.83
191806,-0.55
191807,-0.38
191808,-0.43
191809,-0.22
191810,0.05
191811,-0.45
191812,-1.15
191901,-0.85
191902,-0.22
191903,-0.67
191904,0.00
191905,-0.61
191906,-0.37
191907,-0.08
191908,-0.07
191909,-0.06
191910,-0.26
191911,-0.85
191912,-0.77
192001,0.01
192002,-0.76
192003,0.10
192004,-0.20
192005,-0.09
192006,-0.34
192007,-0.10
192008,-0.27
192009,-0.36
192010,-0.47
192011,-0.66
192012,-1.30
192101,0.45
192102,-0.10
192103,-0.13
192104,-0.07
192105,-0.26
192106,0.06
192107,0.10
192108,-0.38
192109,-0.19
192110,-0.10
192111,-0.39
192112,0.04
192201,-0.80
192202,-0.88
192203,-0.07
192204,-0.04
192205,-0.20
192206,0.03
192207,-0.10
192208,-0.26
192209,-0.42
192210,-0.30
192211,-0.01
192212,-0.10
192301,-0.04
192302,-1.01
192303,-0.58
192304,-1.01
192305,-0.45
192306,-0.19
192307,-0.30
192308,-0.31
192309,-0.19
192310,0.10
192311,0.35
192312,0.22
192401,-0.58
192402,-0.26
192403,0.00
192404,-0.39
192405,-0.19
192406,-0.14
192407,-0.10
192408,-0.13
192409,-0.07
192410,-0.14
192411,0.32
192412,-0.37
192501,-0.39
192502,-0.56
192503,-0.04
192504,0.13
192505,-0.14
192506,-0.28
192507,-0.17
192508,-0.12
192509,0.12
192510,-0.24
192511,0.35
192512,0.67
192601,0.75
192602,0.38
192603,0.48
192604,-0.48
192605,-0.21
192606,-0.16
192607,-0.27
192608,-0.04
192609,-0.07
192610,0.09
192611,0.11
192612,-0.49
192701,-0.65
192702,-0.35
192703,-0.73
192704,-0.43
192705,-0.16
192706,-0.08
192707,0.08
192708,-0.21
192709,0.25
192710,0.49
192711,0.04
192712,-0.79
192801,0.20
192802,-0.14
192803,-0.62
192804,-0.54
192805,-0.07
192806,-0.35
192807,-0.09
192808,-0.18
192809,-0.11
192810,-0.02
192811,0.20
192812,0.04
192901,-1.29
192902,-1.69
192903,-0.12
192904,-0.32
192905,-0.26
192906,-0.51
192907,-0.42
192908,-0.20
192909,-0.27
192910,0.09
192911,0.08
192912,-1.61
193001,-0.71
193002,-0.26
193003,0.37
193004,-0.33
193005,-0.26
193006,-0.19
193007,0.07
193008,0.14
193009,-0.25
193010,-0.09
193011,0.51
193012,0.07
193101,-0.03
193102,-0.93
193103,0.00
193104,-0.25
193105,-0.34
193106,0.22
193107,0.33
193108,0.33
193109,0.42
193110,0.66
193111,0.23
193112,0.20
193201,1.06
193202,-0.45
193203,-0.57
193204,0.40
193205,-0.15
193206,-0.08
193207,0.03
193208,-0.05
193209,0.29
193210,0.34
193211,-0.38
193212,-0.34
193301,-0.74
193302,-0.97
193303,-0.63
193304,-0.42
193305,-0.34
193306,-0.31
193307,-0.01
193308,-0.09
193309,-0.27
193310,-0.16
193311,0.00
193312,-0.76
193401,-0.42
193402,0.76
193403,-0.58
193404,-0.45
193405,0.27
193406,-0.08
193407,-0.05
193408,-0.05
193409,-0.42
193410,0.22
193411,0.54
193412,0.29
193501,-0.71
193502,1.37
193503,0.08
193504,-0.67
193505,-0.40
193506,-0.14
193507,0.01
193508,0.04
193509,0.03
193510,0.17
193511,-1.03
193512,-0.46
193601,-0.74
193602,-1.04
193603,-0.30
193604,-0.37
193605,-0.01
193606,-0.02
193607,0.29
193608,-0.02
193609,0.00
193610,0.13
193611,0.26
193612,0.37
193701,-0.55
193702,0.26
193703,-0.67
193704,-0.32
193705,0.17
193706,0.28
193707,0.10
193708,0.14
193709,0.48
193710,0.44
193711,0.13
193712,-0.35
193801,0.29
193802,0.27
193803,0.40
193804,0.73
193805,0.15
193806,-0.14
193807,0.08
193808,0.26
193809,0.39
193810,0.41
193811,0.54
193812,-0.42
193901,0.19
193902,0.13
193903,-0.36
193904,-0.09
193905,0.11
193906,0.08
193907,0.16
193908,0.17
193909,0.09
193910,-0.16
193911,0.28
193912,1.79
194001,-0.63
194002,0.18
194003,0.08
194004,0.40
194005,-0.01
194006,0.03
194007,0.11
194008,-0.05
194009,0.26
194010,0.11
194011,0.08
194012,0.41
194101,0.13
194102,0.38
194103,0.05
194104,0.08
194105,0.12
194106,0.22
194107,0.22
194108,0.16
194109,-0.15
194110,0.32
194111,-0.25
194112,-0.18
194201,0.31
194202,-0.49
194203,-0.03
194204,0.01
194205,-0.04
194206,0.24
194207,0.00
194208,-0.18
194209,0.03
194210,0.33
194211,0.34
194212,0.22
194301,-0.51
194302,0.43
194303,-0.19
194304,0.41
194305,0.32
194306,-0.26
194307,0.00
194308,0.11
194309,0.07
194310,0.51
194311,0.25
194312,0.81
194401,1.06
194402,0.53
194403,0.53
194404,0.12
194405,0.26
194406,0.11
194407,0.12
194408,0.04
194409,0.35
194410,0.40
194411,-0.23
194412,-0.47
194501,-0.28
194502,-0.87
194503,-0.19
194504,0.19
194505,-0.08
194506,-0.06
194507,-0.12
194508,0.31
194509,0.11
194510,0.26
194511,-0.02
194512,-0.73
194601,0.45
194602,0.39
194603,-0.03
194604,0.68
194605,-0.09
194606,-0.12
194607,0.02
194608,-0.02
194609,-0.11
194610,0.01
194611,0.03
194612,-0.95
194701,-0.57
194702,-0.28
194703,0.51
194704,0.39
194705,-0.04
194706,-0.12
194707,0.01
194708,-0.03
194709,0.17
194710,0.75
194711,0.23
194712,-0.07
194801,0.92
194802,-0.05
194803,-0.32
194804,0.16
194805,0.30
194806,0.15
194807,0.02
194808,0.08
194809,0.08
194810,0.18
194811,0.15
194812,-0.32
194901,0.66
194902,-0.39
194903,-0.17
194904,0.16
194905,0.22
194906,-0.20
194907,-0.22
194908,-0.01
194909,-0.16
194910,0.17
194911,0.14
194912,-0.47
195001,-0.99
195002,-0.59
195003,-0.09
195004,-0.41
195005,-0.06
195006,-0.13
195007,-0.40
195008,-0.48
195009,-0.12
195010,-0.12
195011,-1.00
195012,-0.14
195101,-0.65
195102,-1.19
195103,-0.39
195104,0.04
195105,0.24
195106,-0.20
195107,0.02
195108,0.21
195109,0.38
195110,0.22
195111,-0.07
195112,0.83
195201,0.27
195202,0.05
195203,-0.57
195204,0.11
195205,0.03
195206,0.16
195207,0.18
195208,0.05
195209,0.25
195210,-0.30
195211,-0.88
195212,-0.16
195301,0.29
195302,0.58
