Oceania Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
191001,-0.07
191002,0.01
191003,-1.19
191004,-0.09
191005,0.29
191006,-0.10
191007,0.03
191008,0.31
191009,0.56
191010,-1.17
191011,-0.76
191012,-1.01
191101,-0.48
191102,-0.92
191103,-0.51
191104,-0.67
191105,-0.57
191106,-1.32
191107,-0.25
191108,-0.20
191109,-0.41
191110,-0.22
191111,0.47
191112,-0.22
191201,0.52
191202,0.78
191203,0.30
191204,-0.52
191205,-0.15
191206,-0.61
191207,-0.28
191208,0.08
191209,-0.02
191210,0.05
191211,-0.51
191212,0.21
191301,-0.44
191302,-0.42
191303,-1.14
191304,-0.07
191305,-2.03
191306,-1.56
191307,-0.22
191308,-0.41
191309,-0.94
191310,0.00
191311,0.00
191312,0.38
191401,-0.17
191402,0.72
191403,0.65
191404,0.63
191405,0.11
191406,-0.17
191407,-0.68
191408,0.66
191409,0.03
191410,0.59
191411,0.94
191412,0.58
191501,-0.53
191502,0.98
191503,0.41
191504,0.34
191505,-0.67
191506,0.82
191507,0.95
191508,-0.23
191509,0.55
191510,-0.17
191511,0.48
191512,0.01
191601,0.14
191602,0.23
191603,0.12
191604,-1.01
191605,0.47
191606,0.48
191607,-0.46
191608,0.18
191609,0.33
191610,-0.76
191611,-1.72
191612,-1.03
191701,-0.98
191702,-2.21
191703,-1.06
191704,-1.09
191705,-1.78
191706,-1.11
191707,0.60
191708,-0.59
191709,-0.20
191710,-0.50
191711,-1.04
191712,-0.37
191801,-0.78
191802,-1.20
191803,-1.38
191804,-0.55
191805,-0.24
191806,0.16
191807,-1.06
191808,-0.20
191809,-0.20
191810,-0.09
191811,0.30
191812,0.28
191901,0.14
191902,-0.16
191903,-0.19
191904,0.63
191905,-0.07
191906,0.42
191907,-0.32
191908,-0.27
191909,-0.43
191910,-0.28
191911,0.37
191912,0.68
192001,-0.65
192002,-0.15
192003,-0.85
192004,-0.91
192005,-0.69
192006,0.08
192007,-0.13
192008,-0.26
192009,-0.20
192010,-0.06
192011,-0.11
192012,-0.75
192101,-0.30
192102,-0.10
192103,-0.86
192104,-0.45
192105,1.16
192106,0.86
192107,0.52
192108,-0.81
192109,-0.10
192110,-0.76
192111,0.38
192112,-0.11
192201,-0.27
192202,0.20
192203,-0.22
192204,0.86
192205,-0.42
192206,-0.38
192207,-1.43
192208,-0.93
192209,-0.27
192210,0.08
192211,0.43
192212,-0.55
192301,-0.18
192302,1.05
192303,0.57
192304,0.54
192305,0.55
192306,-0.50
192307,-0.78
192308,-1.21
192309,-1.07
192310,-0.73
192311,-0.53
192312,-0.04
192401,-0.72
192402,-0.69
192403,-0.62
192404,-1.52
192405,0.06
192406,-0.46
192407,0.44
192408,-0.16
192409,0.23
192410,-0.48
192411,-0.53
192412,-0.88
192501,-1.32
192502,-0.55
192503,-0.47
192504,-0.34
192505,-0.40
192506,-0.41
192507,-1.18
192508,-1.13
192509,-1.69
192510,-0.60
192511,0.22
192512,0.61
192601,-0.37
192602,1.12
192603,-0.06
192604,0.29
192605,-1.28
192606,-0.66
192607,0.32
192608,-0.08
192609,0.01
192610,0.27
192611,0.29
192612,-0.67
192701,-0.11
192702,-0.69
192703,-0.06
192704,-0.93
192705,-0.97
192706,0.10
192707,-0.57
192708,-0.30
192709,-0.04
192710,0.16
192711,0.39
192712,-0.37
192801,-0.34
192802,-0.13
192803,0.26
192804,0.97
192805,-0.67
192806,-0.81
192807,-0.15
192808,0.97
192809,1.00
192810,0.27
192811,0.56
192812,0.43
192901,-0.02
192902,0.65
192903,-0.75
192904,-1.14
192905,-0.83
192906,-0.85
192907,-1.51
192908,-0.20
192909,-1.02
192910,-0.37
192911,0.13
192912,-0.83
193001,-0.32
193002,0.25
193003,-0.10
193004,-0.27
193005,-0.23
193006,-0.15
193007,0.50
193008,-0.20
193009,-0.23
193010,-0.14
193011,0.04
193012,-0.56
193101,-0.54
193102,0.11
193103,-0.23
193104,-0.60
193105,-0.22
193106,0.04
193107,-0.18
193108,-0.25
193109,-0.13
193110,-1.13
193111,-1.28
193112,-0.13
193201,1.16
193202,-0.32
193203,-0.02
193204,-0.67
193205,0.04
193206,-0.67
193207,-0.64
193208,-0.46
193209,-0.65
193210,-0.61
193211,-0.05
193212,-0.22
193301,-0.02
193302,0.08
193303,0.46
193304,-0.22
193305,-0.16
193306,0.00
193307,-0.44
193308,-0.98
193309,-0.44
193310,-0.14
193311,-0.83
193312,-0.86
193401,0.10
193402,-0.01
193403,0.16
193404,-0.56
193405,0.28
193406,-0.27
193407,-0.13
193408,-0.42
193409,0.06
193410,-0.59
193411,-0.72
193412,-0.18
193501,-0.16
193502,0.03
193503,-0.18
193504,-0.86
193505,-0.78
193506,-0.95
193507,-0.42
193508,0.03
193509,-0.32
193510,-0.05
193511,0.42
193512,0.13
193601,0.33
193602,0.29
193603,-0.25
193604,-0.74
193605,-0.28
193606,-0.96
193607,0.26
193608,1.04
193609,-0.23
193610,0.27
193611,0.17
193612,0.00
193701,-0.88
