Southern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.63
188002,-0.45
188003,-0.48
188004,-0.58
188005,-0.62
188006,-0.38
188007,-0.53
188008,-0.23
188009,-0.73
188010,-0.98
188011,-0.46
188012,-0.32
188101,-0.77
188102,-0.41
188103,-0.27
188104,-0.46
188105,-0.41
188106,-0.77
188107,-0.71
188108,-0.47
188109,-0.35
188110,-0.47
188111,-0.47
188112,-0.19
188201,-0.34
188202,-0.51
188203,-0.48
188204,-0.55
188205,-0.59
188206,-0.95
188207,-0.75
188208,-0.33
188209,-0.39
188210,-0.06
188211,-0.35
188212,-0.65
188301,-0.39
188302,-0.71
188303,-0.43
188304,-0.57
188305,-0.67
188306,0.22
188307,-0.32
188308,-0.31
188309,-0.62
188310,-0.65
188311,-0.61
188312,-0.51
188401,-0.63
188402,-0.44
188403,-0.10
188404,-0.47
188405,-0.94
188406,-0.61
188407,-0.82
188408,0.12
188409,-0.38
188410,-0.60
188411,-0.40
188412,-0.67
188501,-0.48
188502,-0.79
188503,-1.01
188504,-0.94
188505,-0.57
188506,-1.09
188507,-0.88
188508,-0.43
188509,-0.32
188510,-0.05
188511,-0.24
188512,-0.06
188601,-0.15
188602,-0.60
188603,-0.28
188604,-0.60
188605,-0.65
188606,-0.83
188607,-0.49
188608,-0.45
188609,-0.28
188610,-0.86
188611,-0.34
188612,-0.50
188701,-0.18
188702,-0.74
188703,-0.49
188704,-0.75
188705,-0.91
188706,-0.63
188707,-0.60
188708,-0.34
188709,-0.61
188710,-0.50
188711,-0.59
188712,-0.44
188801,-0.16
188802,-0.48
188803,-0.72
188804,-0.13
188805,-0.67
188806,-0.51
188807,-0.38
188808,-0.38
188809,-0.23
188810,-0.25
188811,0.22
188812,0.23
188901,-0.16
188902,-0.15
188903,0.10
188904,-0.24
188905,-0.27
188906,-0.42
188907,-0.48
188908,-0.66
188909,-0.39
188910,-0.09
188911,0.00
188912,-0.01
189001,-0.40
189002,-0.46
189003,-0.29
189004,-0.36
189005,-0.60
189006,-0.51
189007,-0.67
189008,-0.72
189009,-0.50
189010,-0.39
189011,-0.55
189012,-0.32
189101,-0.73
189102,-0.83
189103,-0.41
189104,-0.67
189105,-0.32
189106,-0.71
189107,-0.88
189108,-0.90
189109,-0.81
189110,-0.52
189111,-0.30
189112,-0.39
189201,-0.25
189202,0.08
189203,-0.01
189204,-0.66
189205,-0.83
189206,-0.78
189207,-0.44
189208,-0.33
189209,-0.66
189210,-0.32
189211,-0.12
189212,-0.41
189301,-0.32
189302,-0.54
189303,-0.11
189304,-0.62
189305,-0.52
189306,-1.02
189307,-0.20
189308,-0.46
189309,-0.55
189310,-0.38
189311,-0.28
189312,-0.02
189401,-0.21
189402,-0.47
189403,-0.41
189404,-0.52
189405,-0.78
189406,-0.87
189407,-0.74
189408,-0.64
189409,-0.57
189410,-0.59
189411,-0.15
189412,-0.34
189501,-0.71
189502,-0.43
189503,-0.14
189504,-0.31
189505,-0.56
189506,-0.29
189507,-0.60
189508,-0.16
189509,-0.28
189510,-0.09
189511,-0.30
189512,0.12
189601,-0.06
189602,-0.23
189603,-0.18
189604,-0.21
189605,-0.52
189606,-0.86
189607,-0.40
189608,-0.19
189609,-0.41
189610,0.21
189611,-0.06
189612,0.14
189701,-0.23
189702,-0.13
189703,-0.01
189704,0.28
189705,-0.32
189706,0.00
189707,-0.29
189708,-0.48
189709,-0.36
189710,-0.04
189711,0.30
189712,0.11
189801,-0.13
189802,-0.43
189803,-0.33
189804,-0.71
189805,-0.91
189806,-0.19
189807,-0.60
189808,-0.52
189809,-0.28
189810,-0.63
189811,-0.18
189812,-0.04
189901,-0.61
189902,-0.22
189903,-0.26
189904,-0.09
189905,-0.56
189906,-0.66
189907,-0.23
189908,-0.17
189909,-0.07
189910,-0.49
189911,-0.24
189912,0.14
190001,-0.06
190002,0.64
190003,-0.07
190004,-0.15
190005,-0.18
190006,0.21
190007,-0.13
190008,-0.08
190009,-0.12
190010,0.13
190011,0.38
190012,0.16
190101,-0.17
190102,-0.16
190103,-0.43
190104,-0.35
190105,-0.07
190106,-0.02
190107,-0.38
190108,-0.15
190109,0.16
190110,-0.23
190111,0.12
190112,0.17
190201,-0.24
190202,0.09
190203,-0.09
190204,0.07
190205,0.12
190206,0.07
190207,0.07
190208,-0.44
190209,-0.18
190210,-0.34
190211,-0.16
190212,-0.11
190301,-0.15
190302,-0.01
190303,0.10
190304,-0.28
190305,-0.29
190306,-0.23
190307,-0.35
190308,-0.16
190309,-0.23
190310,-0.58
190311,-0.52
190312,-0.63
190401,-0.77
190402,-0.94
190403,-0.76
190404,-0.30
190405,-0.33
190406,-0.39
190407,-0.04
190408,-0.32
190409,-0.42
190410,-0.53
190411,-0.19
190412,-0.45
190501,-0.32
190502,-0.52
190503,-0.29
190504,0.03
190505,-0.14
190506,-0.14
190507,-0.19
190508,-0.48
190509,-0.48
190510,-0.26
190511,-0.18
190512,0.11
190601,0.29
190602,0.12
190603,-0.41
190604,0.01
190605,0.16
190606,-0.08
190607,-0.02
190608,-0.26
190609,-0.33
190610,-0.18
190611,-0.44
190612,-0.55
190701,-0.48
190702,-0.38
190703,-0.38
190704,-0.56
190705,-0.68
190706,-0.36
190707,-0.31
190708,-0.30
190709,-0.27
190710,-0.25
190711,-0.48
190712,-0.47
190801,-0.29
190802,-0.55
190803,-0.50
190804,-0.56
190805,-0.54
190806,-0.52
190807,-0.20
190808,-0.54
190809,-0.43
190810,-0.52
190811,-0.25
190812,-0.12
190901,-0.51
190902,-0.52
190903,-0.44
190904,-0.56
190905,-0.73
190906,-0.33
190907,-0.41
190908,-0.07
190909,-0.24
190910,-0.19
190911,-0.38
190912,-0.67
191001,-0.40
191002,-0.37
191003,-0.86
191004,-0.34
191005,-0.28
191006,-0.12
191007,-0.20
191008,0.02
191009,-0.12
191010,-0.66
191011,-0.61
191012,-0.56
191101,-0.49
191102,-0.56
191103,-0.72
191104,-0.65
191105,-0.58
191106,-1.01
191107,-0.46
191108,-0.48
191109,-0.61
191110,-0.27
191111,0.06
191112,0.11
191201,0.18
191202,0.10
191203,-0.02
191204,-0.28
191205,-0.08
191206,-0.25
191207,-0.41
191208,-0.15
191209,-0.31
191210,-0.04
