South America Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
191001,-0.44
191002,-0.52
191003,-0.87
191004,-0.42
191005,-0.47
191006,0.08
191007,-0.26
191008,-0.10
191009,-0.28
191010,-0.33
191011,-0.23
191012,-0.31
191101,-0.47
191102,-0.51
191103,-0.67
191104,-0.43
191105,-0.29
191106,-0.74
191107,-0.37
191108,-0.52
191109,-0.71
191110,-0.51
191111,-0.12
191112,-0.17
191201,-0.16
191202,-0.07
191203,-0.03
191204,-0.23
191205,-0.17
191206,-0.10
191207,-0.56
191208,-0.28
191209,-0.30
191210,-0.02
191211,-0.32
191212,-0.13
191301,-0.34
191302,-0.19
191303,-0.40
191304,-0.09
191305,-0.24
191306,-0.14
191307,0.53
191308,0.02
191309,-0.13
191310,-0.01
191311,-0.08
191312,-0.34
191401,-0.13
191402,-0.36
191403,-0.53
191404,-0.52
191405,-0.19
191406,0.16
191407,0.49
191408,-0.21
191409,-0.33
191410,-0.30
191411,-0.46
191412,-0.36
191501,-0.33
191502,-0.05
191503,-0.31
191504,0.23
191505,0.33
191506,-0.67
191507,0.03
191508,0.22
191509,-0.36
191510,-0.19
191511,-0.41
191512,-0.25
191601,-0.39
191602,-0.63
191603,-0.77
191604,-0.15
191605,-0.47
191606,-1.39
191607,-1.12
191608,-0.75
191609,-0.22
191610,-0.41
191611,-0.35
191612,-0.74
191701,-0.62
191702,-0.97
191703,-1.02
191704,-0.88
191705,-1.52
191706,-0.85
191707,-0.90
191708,-0.88
191709,-0.61
191710,-0.75
191711,-0.85
191712,-0.59
191801,-0.85
191802,-1.01
191803,-0.73
191804,-0.53
191805,-0.85
191806,-0.68
191807,-0.46
191808,-0.40
191809,-0.48
191810,-0.60
191811,-0.25
191812,-0.32
191901,0.02
191902,-0.06
191903,-0.11
191904,0.13
191905,0.45
191906,-0.24
191907,-0.32
191908,-0.81
191909,-0.65
191910,-0.49
191911,-0.46
191912,-0.28
192001,-0.33
192002,-0.34
192003,-0.22
192004,-0.14
192005,-0.31
192006,-0.80
192007,-0.73
192008,-0.69
192009,-0.36
192010,-0.48
192011,-0.25
192012,-0.45
192101,-0.63
192102,-0.57
192103,-0.77
192104,-0.46
192105,-0.10
192106,-1.15
192107,-0.99
192108,-0.43
192109,-0.50
192110,-0.60
192111,-0.48
192112,-0.35
192201,-0.50
192202,-0.51
192203,-0.49
192204,-0.56
192205,-0.61
192206,-0.87
192207,-0.14
192208,-0.64
192209,-0.29
192210,-0.78
192211,-0.50
192212,-0.70
192301,-0.69
192302,-0.53
192303,-0.28
192304,-0.42
192305,-1.05
192306,-0.31
192307,-0.92
192308,-0.57
192309,-0.32
192310,-0.74
192311,-0.34
192312,-0.57
192401,-0.60
192402,-0.38
192403,-0.26
192404,-0.50
192405,-0.84
192406,-0.67
192407,-0.65
192408,-1.05
192409,-0.87
192410,-0.78
192411,-0.82
192412,-0.46
192501,-0.49
192502,-0.44
192503,-0.38
192504,-0.31
192505,-0.62
192506,-0.83
192507,-0.77
192508,0.05
192509,-0.22
192510,-0.41
192511,-0.13
192512,-0.10
192601,-0.01
192602,-0.07
192603,0.29
192604,-0.05
192605,-0.59
192606,0.07
192607,-0.42
192608,-0.20
192609,-0.14
192610,-0.10
192611,-0.07
192612,-0.28
192701,-0.27
192702,-0.02
192703,-0.11
192704,-0.43
192705,-0.75
192706,-0.74
192707,-0.53
192708,-0.31
192709,-0.42
192710,-0.21
192711,0.05
192712,-0.29
192801,-0.39
192802,-0.44
192803,-0.23
192804,-0.06
192805,-0.44
192806,-0.54
192807,-0.27
192808,-0.74
192809,-0.68
192810,-0.43
192811,-0.05
192812,-0.41
192901,-0.01
192902,-0.20
192903,-0.55
192904,-0.30
192905,-0.86
192906,-0.77
192907,-0.40
192908,-0.37
192909,-0.01
192910,-0.41
192911,-0.18
192912,-0.35
193001,-0.24
193002,-0.29
193003,-0.07
193004,-0.22
193005,-0.20
